[2025-06-11T18:23:30.204+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_173.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.205+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_174.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.207+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_175.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.208+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_176.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.210+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_177.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.211+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_178.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.213+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_179.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.214+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_18.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.216+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_180.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.218+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_181.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.219+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_182.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.221+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_183.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
[2025-06-11T18:23:30.223+0000] {logging_mixin.py:190} INFO - Failed to delete files in /opt/***/extraction/mercadolivre/data/shipping_cost_ml/sh_cost_184.json with error: [Errno 21] Is a directory: '/opt/***/extraction/mercadolivre/data/shipping_cost_ml'
